Entité administrative;Nombre d'indépendants;Hommes;Femmes;15-24 ans;25-49 ans;50-64 ans;65 ans et plus;Moins de 30 ans;55 ans et +;Indépendants (aidants non compris);Aidants;Actifs à titre principal;Actifs à titre complémentaire;Actifs après la pension;Annee
Mouscron;4406;2769;1637;122;2643;1361;280;419;1117;3753;653;3446;664;296;2007
Soignies;11919;7798;4121;319;7159;3671;770;1098;2957;10784;1135;8361;2789;769;2007
Thuin;11024;7187;3837;242;6538;3558;686;969;2864;9969;1055;7930;2389;705;2007
Tournai;10757;7020;3737;252;6285;3464;756;917;2853;9365;1392;7988;2000;769;2007
Huy;8401;5658;2743;185;4972;2718;526;691;2078;7706;695;5882;1975;544;2007
Liège;37955;25370;12585;859;22208;12079;2809;3720;9902;35460;2495;26088;8930;2937;2007
Verviers;22817;15644;7173;558;13283;7084;1892;2058;6060;20747;2070;16111;4743;1963;2007
Waremme;6063;4060;2003;116;3517;1996;434;505;1589;5566;497;4192;1421;450;2007
Arlon;2639;1652;987;74;1504;838;223;261;691;2388;251;1898;527;214;2007
Bastogne;4677;3195;1482;139;2561;1484;493;420;1352;4166;511;3174;1008;495;2007
Marche-en-Famenne;5548;3809;1739;180;3193;1727;448;539;1430;4979;569;3792;1306;450;2007
Neufchâteau;6314;4399;1915;183;3524;2025;582;580;1773;5676;638;4098;1618;598;2007
Virton;3391;2240;1151;78;1873;1132;308;268;980;3109;282;2330;757;304;2007
Dinant;9803;6668;3135;252;5678;3129;744;920;2582;8841;962;6798;2232;773;2007
Namur;22931;15280;7651;533;13925;6985;1488;2191;5691;21195;1736;15438;5920;1573;2007
Philippeville;5237;3451;1786;115;3036;1700;386;414;1382;4732;505;3616;1223;398;2007
Nivelles;36700;25025;11675;637;21480;12138;2445;2646;9644;34716;1984;27344;6843;2513;2006
Ath;6352;4138;2214;125;3748;2001;478;526;1648;5581;771;4650;1219;483;2006
Charleroi;22450;14861;7589;578;13305;7099;1468;2107;5675;20787;1663;15541;5426;1483;2006
Mons;14380;9245;5135;312;8565;4630;873;1336;3564;13142;1238;10262;3238;880;2006
Mouscron;4388;2764;1624;110;2648;1353;277;397;1108;3712;676;3461;642;285;2006
Soignies;11715;7678;4037;250;7090;3636;739;1026;2885;10544;1171;8369;2606;740;2006
Thuin;10819;7057;3762;246;6414;3464;695;931;2775;9728;1091;7826;2302;691;2006
Tournai;10614;6968;3646;233;6192;3420;769;895;2822;9190;1424;7980;1860;774;2006
Huy;8220;5539;2681;158;4913;2635;514;653;2017;7496;724;5840;1850;530;2006
Liège;37329;24982;12347;756;21948;11771;2854;3490;9688;34743;2586;25841;8553;2935;2006
Verviers;22729;15670;7059;507;13340;6987;1895;1961;6024;20607;2122;16183;4601;1945;2006
Waremme;5888;3937;1951;111;3437;1900;440;469;1507;5367;521;4095;1344;449;2006
Arlon;2589;1624;965;52;1480;830;227;241;687;2343;246;1865;507;217;2006
Bastogne;4662;3194;1468;111;2612;1439;500;406;1336;4130;532;3215;950;497;2006
Marche-en-Famenne;5447;3757;1690;151;3182;1677;437;496;1393;4882;565;3788;1221;438;2006
Neufchâteau;6275;4403;1872;166;3572;1942;595;557;1746;5621;654;4098;1582;595;2006
Virton;3355;2228;1127;71;1864;1111;309;246;949;3055;300;2339;714;302;2006
Dinant;9634;6570;3064;212;5623;3039;760;873;2497;8638;996;6740;2118;776;2006
Namur;22281;14902;7379;461;13545;6815;1460;2060;5479;20560;1721;15221;5547;1513;2006
Philippeville;5137;3402;1735;99;3003;1652;383;385;1369;4621;516;3631;1118;388;2006
Nivelles;36005;24532;11473;621;21461;11632;2291;2710;9122;33919;2086;27106;6510;2389;2005
Ath;6239;4058;2181;121;3732;1916;470;514;1564;5441;798;4599;1158;482;2005
Charleroi;22184;14692;7492;550;13327;6862;1445;2032;5438;20446;1738;15549;5139;1496;2005
Mons;14193;9147;5046;342;8535;4440;876;1375;3424;12894;1299;10293;3013;887;2005
Mouscron;4415;2793;1622;102;2731;1313;269;430;1078;3723;692;3506;622;287;2005
Soignies;11559;7585;3974;256;7066;3496;741;1038;2770;10345;1214;8325;2474;760;2005
Thuin;10657;6954;3703;247;6359;3363;688;920;2655;9512;1145;7828;2122;707;2005
Tournai;10537;6896;3641;236;6192;3354;755;898;2729;9058;1479;8009;1753;775;2005
Huy;8069;5450;2619;138;4911;2512;508;639;1907;7315;754;5802;1735;532;2005
Liège;36956;24772;12184;819;22008;11350;2779;3516;9313;34277;2679;26031;8000;2925;2005
Verviers;22663;15639;7024;542;13387;6864;1870;1998;5841;20481;2182;16171;4516;1976;2005
Waremme;5860;3924;1936;120;3453;1849;438;478;1439;5318;542;4136;1287;437;2005
Arlon;2554;1599;955;68;1455;806;225;240;684;2314;240;1849;485;220;2005
Bastogne;4704;3216;1488;115;2703;1385;501;412;1285;4145;559;3235;966;503;2005
Marche-en-Famenne;5393;3730;1663;157;3225;1583;428;497;1330;4818;575;3786;1159;448;2005
Neufchâteau;6236;4384;1852;180;3601;1866;589;562;1647;5562;674;4093;1540;603;2005
Virton;3322;2198;1124;79;1876;1060;307;255;888;3001;321;2342;681;299;2005
Dinant;9599;6528;3071;241;5675;2950;733;882;2408;8546;1053;6849;1992;758;2005
Namur;21898;14688;7210;457;13457;6578;1406;2015;5222;20103;1795;15116;5272;1510;2005
Philippeville;5098;3375;1723;106;3017;1579;396;410;1318;4570;528;3623;1059;416;2005
Nivelles;35570;24171;11399;562;21572;11206;2230;2720;8794;33300;2270;27088;6179;2303;2004
Ath;6252;4082;2170;124;3734;1904;490;494;1567;5392;860;4665;1080;507;2004
Charleroi;22392;14789;7603;555;13598;6785;1454;2015;5304;20420;1972;15921;5003;1468;2004
Mons;14115;9048;5067;347;8573;4292;903;1360;3282;12738;1377;10344;2867;904;2004
Mouscron;4437;2763;1674;116;2707;1345;269;435;1083;3700;737;3590;565;282;2004
Soignies;11542;7562;3980;265;7124;3394;759;1054;2686;10261;1281;8410;2371;761;2004
Thuin;10673;6940;3733;220;6442;3315;696;893;2638;9404;1269;7936;2041;696;2004
Tournai;10587;6904;3683;212;6250;3311;814;894;2740;9017;1570;8113;1672;802;2004
Huy;8100;5459;2641;155;4989;2428;528;678;1856;7299;801;5850;1702;548;2004
Liège;36919;24680;12239;826;22230;11010;2853;3481;9079;34028;2891;26341;7627;2951;2004
Verviers;22749;15661;7088;572;13565;6716;1896;2026;5680;20464;2285;16330;4429;1990;2004
Waremme;5784;3892;1892;108;3408;1815;453;430;1436;5223;561;4098;1230;456;2004
Arlon;2572;1614;958;74;1483;789;226;248;668;2294;278;1880;471;221;2004
Bastogne;4733;3245;1488;116;2773;1345;499;407;1271;4106;627;3273;969;491;2004
Marche-en-Famenne;5374;3700;1674;139;3289;1513;433;473;1290;4743;631;3817;1110;447;2004
Neufchâteau;6209;4354;1855;180;3622;1810;597;594;1616;5476;733;4139;1470;600;2004
